차례	항목	풀이	품사	빈도	개수	교재	교과	교양	문학	신문	잡지	대본	구어	기타
36124	정독하다04	精讀-	동	2 	2 	0 	0 	1 	0 	0 	1 	0 	0 	0 
19384	정돈02	整頓	명	6 	3 	0 	4 	0 	0 	0 	1 	0 	0 	1 
8537	정돈되다02	整頓-	동	19 	10 	0 	2 	6 	6 	2 	3 	0 	0 	0 
53223	정돈성	整頓性	명	1 	1 	0 	0 	1 	0 	0 	0 	0 	0 	0 
10777	정돈하다02	整頓-	동	14 	11 	0 	3 	4 	2 	2 	2 	0 	0 	1 
12848	정들다	情-	동	11 	10 	0 	1 	0 	3 	2 	1 	0 	1 	3 
53224	정들이다	情-	동	1 	1 	0 	0 	1 	0 	0 	0 	0 	0 	0 
53225	정떨어지다	情-	동	1 	1 	0 	0 	0 	0 	0 	0 	1 	0 	0 
24670	정략02	政略	명	4 	3 	0 	0 	0 	1 	2 	1 	0 	0 	0 
53226	정략적	政略的	관	1 	1 	0 	0 	1 	0 	0 	0 	0 	0 	0 
53227	정량03	定量	명	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
36125	정량적	定量的	명	2 	1 	0 	0 	2 	0 	0 	0 	0 	0 	0 
28989	정력04	精力	명	3 	3 	0 	0 	0 	1 	0 	2 	0 	0 	0 
24671	정력적	精力的	명	4 	4 	0 	0 	1 	0 	3 	0 	0 	0 	0 
53228	정력제	精力劑	명	1 	1 	0 	0 	0 	0 	0 	1 	0 	0 	0 
36126	정렬02	整列	명	2 	2 	0 	0 	0 	1 	1 	0 	0 	0 	0 
53229	정렬되다	整列-	동	1 	1 	0 	0 	0 	0 	0 	1 	0 	0 	0 
24672	정렬하다02	整列-	동	4 	3 	0 	1 	1 	2 	0 	0 	0 	0 	0 
24673	정령05	精靈	명	4 	1 	0 	0 	4 	0 	0 	0 	0 	0 	0 
36127	정례03	定例	명	2 	2 	0 	0 	1 	0 	0 	0 	0 	0 	1 
53230	정례화	定例化	명	1 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0 
53231	정로01	正路	명	1 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0 
24674	정론01	正論	명	4 	2 	0 	0 	1 	0 	3 	0 	0 	0 	0 
5966	정류장	停留場	명	30 	19 	12 	0 	2 	7 	7 	2 	0 	0 	0 
2323	정리09	整理	명	93 	49 	1 	17 	13 	14 	23 	17 	2 	5 	1 
6302	정리되다	整理-	동	28 	20 	0 	3 	13 	3 	4 	2 	1 	1 	1 
1212	정리하다	整理-	동	190 	73 	2 	46 	60 	29 	15 	24 	7 	4 	3 
53232	정리함	整理函	명	1 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0 
12849	정립01	正立	명	11 	8 	0 	0 	5 	0 	5 	1 	0 	0 	0 
