차례	항목	품사	빈도	개수	교재	교과	교양	문학	신문	잡지	대본	구어	기타
585	다니께	종	1 	1 	0 	0 	0 	0 	0 	0 	1 	0 	0 
268	다마는	연	12 	3 	0 	0 	0 	5 	0 	0 	0 	0 	7 
480	다마다	종	2 	2 	1 	0 	0 	1 	0 	0 	0 	0 	0 
364	다만	연	5 	4 	0 	0 	1 	4 	0 	0 	0 	0 	0 
384	다며	연	4 	4 	0 	0 	1 	1 	1 	1 	0 	0 	0 
337	다며	종	6 	4 	0 	0 	0 	1 	0 	0 	3 	2 	0 
71	다면	연	689 	113 	30 	28 	198 	160 	124 	89 	5 	12 	43 
241	다면서	종	16 	11 	4 	0 	0 	6 	0 	0 	4 	0 	2 
481	다믄	연	2 	1 	0 	0 	0 	2 	0 	0 	0 	0 	0 
482	다손	연	2 	2 	0 	0 	1 	1 	0 	0 	0 	0 	0 
148	다시피	연	89 	45 	6 	1 	25 	26 	6 	14 	1 	0 	10 
483	다야	종	2 	2 	0 	0 	0 	2 	0 	0 	0 	0 	0 
319	다오	종	7 	6 	2 	1 	1 	2 	0 	1 	0 	0 	0 
484	다요	종	2 	2 	0 	0 	0 	1 	0 	0 	1 	0 	0 
586	다우	종	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
385	다이	종	4 	2 	0 	0 	0 	1 	0 	0 	3 	0 	0 
248	다지	종	15 	8 	3 	0 	0 	9 	0 	1 	0 	0 	2 
587	다해	종	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
485	단	연	2 	2 	0 	0 	0 	2 	0 	0 	0 	0 	0 
588	단가	종	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
144	단다	종	98 	27 	10 	34 	5 	31 	0 	15 	0 	0 	3 
365	담	종	5 	4 	1 	0 	0 	2 	0 	0 	0 	0 	2 
486	답니까	종	2 	2 	0 	0 	0 	2 	0 	0 	0 	0 	0 
157	답니다	종	81 	18 	7 	3 	8 	50 	0 	5 	1 	0 	7 
487	당가	종	2 	1 	0 	0 	0 	0 	0 	0 	2 	0 	0 
420	당께	종	3 	2 	0 	0 	0 	0 	0 	0 	3 	0 	0 
249	대	종	15 	10 	1 	0 	1 	11 	0 	0 	1 	0 	1 
589	대요	종	1 	1 	0 	0 	0 	0 	0 	0 	1 	0 	0 
136	더	선	114 	29 	5 	0 	0 	30 	0 	12 	8 	57 	2 
309	더구나	종	8 	6 	3 	3 	1 	1 	0 	0 	0 	0 	0 
488	더구만	종	2 	2 	0 	0 	0 	2 	0 	0 	0 	0 	0 
338	더구먼	종	6 	6 	0 	1 	0 	2 	0 	0 	1 	2 	0 
123	더군	종	163 	35 	16 	5 	13 	86 	2 	36 	0 	5 	0 
225	더냐	종	19 	8 	0 	0 	1 	10 	0 	1 	4 	0 	3 
81	더니	연	510 	90 	57 	22 	41 	184 	14 	76 	30 	24 	62 
421	더니	종	3 	3 	1 	1 	0 	0 	0 	0 	1 	0 	0 
214	더니만	연	22 	13 	1 	0 	1 	12 	0 	1 	3 	0 	4 
110	더라	종	227 	60 	20 	3 	4 	82 	5 	7 	20 	74 	12 
366	더라고	종	5 	5 	0 	0 	0 	0 	0 	2 	0 	3 	0 
590	더라나	종	1 	1 	0 	0 	0 	0 	0 	1 	0 	0 	0 
591	더라니	종	1 	1 	1 	0 	0 	0 	0 	0 	0 	0 	0 
232	더라니까	종	18 	6 	0 	0 	0 	15 	0 	1 	1 	1 	0 
75	더라도	연	546 	125 	19 	24 	184 	86 	130 	59 	11 	19 	14 
592	더라며	연	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
160	더라면	연	68 	36 	6 	2 	10 	36 	8 	6 	0 	0 	0 
593	더람	종	1 	1 	0 	0 	0 	0 	0 	1 	0 	0 	0 
594	더만	종	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
595	더이다	종	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
18	던	관	6,609 	164 	246 	323 	1,395 	1,888 	887 	1,285 	103 	117 	365 
278	던	종	11 	6 	0 	0 	0 	8 	0 	0 	3 	0 	0 
112	던가	종	220 	56 	8 	0 	22 	101 	23 	34 	5 	3 	24 
596	던걸	종	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
597	던고	종	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
178	던데	연	49 	26 	15 	0 	0 	11 	0 	5 	8 	7 	3 
172	던데	종	54 	25 	25 	1 	2 	13 	0 	4 	4 	5 	0 
339	던들	연	6 	4 	1 	0 	0 	4 	0 	0 	1 	0 	0 
149	던지	연	89 	35 	4 	3 	7 	44 	1 	22 	3 	0 	5 
489	던지라	연	2 	2 	0 	0 	1 	0 	0 	1 	0 	0 	0 
490	덜	연	2 	2 	0 	0 	0 	1 	0 	0 	1 	0 	0 
491	데	연	2 	2 	0 	0 	0 	1 	0 	0 	0 	0 	1 
242	데	종	16 	8 	3 	0 	0 	7 	0 	1 	0 	3 	2 
296	도다	종	9 	9 	1 	0 	1 	3 	0 	2 	1 	0 	1 
